state,x,y
Andhra Pradesh,-60,-138
Arunachal Pradesh,229,140
Assam,176,86
Bihar,51,66
Chattisgarh,-11,-27
Gujarat,-195,11
Goa,-157,-140
Haryana,-106,129
Himachal Pradesh,-86,183
Jharkhand,48,19
Karnataka,-126,-160
Kerala,-115,-252
Madhya Pradesh,-79,11
Maharashtra,-127,-64
Manipur,207,55
Meghalaya,157,64
Mizoram,191,26
Nagaland,219,84
Odisha,43,-43
Punjab,-121,164
Rajasthan,-163,82
Sikkim,107,108
Tamil Nadu,-65,-237
Telangana,-65,-93
Tripura,169,31
Uttarakhand,-55,148
Uttar Pradesh,-36,82
West Bengal,106,15
